COUNTY,STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021
27,CO,Custer County,4712,5045
29,CO,Delta County,31232,31661
31,CO,Denver County,717630,711463
33,CO,Dolores County,2338,2397
35,CO,Douglas County,360102,368990
37,CO,Eagle County,55665,55727
39,CO,Elbert County,26206,27128
41,CO,El Paso County,731847,737867
43,CO,Fremont County,48981,49661
45,CO,Garfield County,61776,62161
47,CO,Gilpin County,5810,5873
49,CO,Grand County,15733,15860
51,CO,Gunnison County,16945,17281
53,CO,Hinsdale County,794,781
55,CO,Huerfano County,6810,6920
57,CO,Jackson County,1376,1363
59,CO,Jefferson County,582928,579581
61,CO,Kiowa County,1452,1452
63,CO,Kit Carson County,7064,6950
65,CO,Lake County,7409,7407
67,CO,La Plata County,55642,56250
69,CO,Larimer County,359686,362533
71,CO,Las Animas County,14564,14633
73,CO,Lincoln County,5669,5688
75,CO,Logan County,21495,21487
77,CO,Mesa County,155939,157335
79,CO,Mineral County,867,924
81,CO,Moffat County,13267,13185
83,CO,Montezuma County,25858,26175
85,CO,Montrose County,42798,43168
87,CO,Morgan County,29065,29008
89,CO,Otero County,18667,18594
91,CO,Ouray County,4869,5035
93,CO,Park County,17421,17720
95,CO,Phillips County,4534,4512
97,CO,Pitkin County,17342,17348
99,CO,Prowers County,11986,11996
101,CO,Pueblo County,168467,169622
103,CO,Rio Blanco County,6518,6476
105,CO,Rio Grande County,11538,11408
107,CO,Routt County,24839,25091
109,CO,Saguache County,6383,6471
111,CO,San Juan County,710,733
113,CO,San Miguel County,8055,8074
115,CO,Sedgwick County,2390,2336
117,CO,Summit County,30971,30941
119,CO,Teller County,24726,24926
121,CO,Washington County,4815,4861
123,CO,Weld County,331358,340036
125,CO,Yuma County,9979,9941
0,CT,Connecticut,3600260,3605597
1,CT,Fairfield County,955895,959768
3,CT,Hartford County,897932,896854
5,CT,Litchfield County,184874,185000
7,CT,Middlesex County,163923,164759
9,CT,New Haven County,863498,863700
11,CT,New London County,268248,268805
13,CT,Tolland County,149650,150293
15,CT,Windham County,116240,116418
0,DE,Delaware,991886,1003384
1,DE,Kent County,182256,184149
3,DE,New Castle County,570718,571708
5,DE,Sussex County,238912,247527
0,DC,District of Columbia,690093,670050
1,DC,District of Columbia,690093,670050
0,FL,Florida,21569932,21781128
1,FL,Alachua County,278684,279238
3,FL,Baker County,28309,28715
5,FL,Bay County,174461,179168
7,FL,Bradford County,28364,28540
9,FL,Brevard County,608007,616628
11,FL,Broward County,1941516,1930983
13,FL,Calhoun County,13615,13641
15,FL,Charlotte County,187960,194843
17,FL,Citrus County,154403,158083
19,FL,Clay County,218797,222361
21,FL,Collier County,377079,385980
23,FL,Columbia County,69889,70385
27,FL,De Soto County,34080,34408
29,FL,Dixie County,16805,17102
31,FL,Duval County,996373,999935
33,FL,Escambia County,322424,322390
35,FL,Flagler County,115968,120932
37,FL,Franklin County,12456,12572
39,FL,Gadsden County,43701,43714
41,FL,Gilchrist County,17928,18360
43,FL,Glades County,12179,12234
45,FL,Gulf County,14181,14363
47,FL,Hamilton County,13988,13993
49,FL,Hardee County,25313,25425
51,FL,Hendry County,39707,40313
53,FL,Hernando County,195508,200638
55,FL,Highlands County,101222,103296
57,FL,Hillsborough County,1463380,1478194
59,FL,Holmes County,19622,19784
61,FL,Indian River County,160345,163662
63,FL,Jackson County,47214,47694
65,FL,Jefferson County,14560,14555
67,FL,Lafayette County,8252,8382
69,FL,Lake County,385875,395804
71,FL,Lee County,764679,787976
73,FL,Leon County,292378,292817
75,FL,Levy County,43051,44158
77,FL,Liberty County,7974,7900
79,FL,Madison County,17976,18288
81,FL,Manatee County,401443,412703
83,FL,Marion County,377370,385915
85,FL,Martin County,158529,159942
86,FL,Miami-Dade County,2692459,2662777
87,FL,Monroe County,82809,82170
89,FL,Nassau County,90993,94189
91,FL,Okaloosa County,211809,213255
93,FL,Okeechobee County,39641,40266
95,FL,Orange County,1429899,1422746
97,FL,Osceola County,390855,403282
99,FL,Palm Beach County,1492466,1497987
101,FL,Pasco County,565745,584067
103,FL,Pinellas County,958752,956615
105,FL,Polk County,729233,753520
107,FL,Putnam County,73347,74167
109,FL,Saint Johns County,276916,292466
111,FL,Saint Lucie County,331275,343579
113,FL,Santa Rosa County,189133,193998
