StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
GA,"Henry County",241818,212359,245235,258415
GA,"Grady County",26221,136562,25918,152221
GA,"Wilkes County",9556,97460,9513,110625
GA,"Jenkins County",8662,75084,8639,87467
GA,"Hart County",25866,181121,26409,205342
GA,"Fulton County",1069023,317691,1065334,364189
GA,"Effingham County",65150,198959,66741,227452
GA,"Candler County",11001,121094,11037,134538
GA,"Tattnall County",22852,112483,23052,124768
GA,"Forsyth County",252786,375036,260206,456025
GA,"Berrien County",18159,109008,18147,122647
GA,"Chattooga County",24921,88811,24932,98499
GA,"Lincoln County",7704,156958,7749,178293
GA,"Camden County",54911,182506,55664,210697
GA,"Glynn County",84470,219653,84739,252116
GA,"Stephens County",26800,124752,26865,141385
GA,"Echols County",3696,103549,3699,113488
GA,"Evans County",10757,98237,10672,111264
GA,"Paulding County",169660,0,173780,268463
GA,"Early County",10813,89911,10619,96984
GA,"Bacon County",11123,92932,11079,103347
GA,"Monroe County",28046,203988,28712,223942
GA,"Chattahoochee County",9482,78078,9048,87856
GA,"Laurens County",49497,117034,49547,129925
GA,"Houston County",164242,155893,166829,171500
GA,"Pierce County",19722,138840,19976,157036
GA,"White County",28090,195852,28442,223725
GA,"Heard County",11465,134770,11565,150689
GA,"Upson County",27712,87905,27720,101423
GA,"Pulaski County",9863,101411,9917,112302
GA,"Randolph County",6377,56294,6287,62770
GA,"Toombs County",27052,112025,26911,125370
GA,"Walton County",97135,231236,99853,273276
GA,"Rockdale County",93614,200369,94082,241279
GA,"Brantley County",18040,113015,18101,128713
GA,"Banks County",18069,195403,18562,220107
GA,"Carroll County",119463,181982,121968,213351
GA,"Lamar County",18550,144838,19080,165018
GA,"Peach County",28035,144702,28417,160544
GA,"Charlton County",12530,112971,12766,131212
GA,"Appling County",18428,98349,18488,109235
GA,"Wheeler County",7430,85924,7471,92936
GA,"Decatur County",29338,105893,29038,119272
GA,"Hall County",203589,246091,207369,292224
GA,"Baldwin County",43773,142194,43781,160556
GA,"Pike County",18935,208088,19477,235741
GA,"Madison County",30263,169988,30885,192400
GA,"Morgan County",20174,264544,20635,301060
GA,"Schley County",4538,112915,4478,126061
GA,"Douglas County",144497,198765,145814,247999
GA,"Richmond County",206328,0,205673,147076
GA,"Colquitt County",45866,96512,45812,107335
GA,"Dekalb County",763831,240315,757718,284866
GA,"Cobb County",766209,287658,766802,344882
GA,"Thomas County",45766,143986,45842,161968
GA,"Crawford County",12100,131697,12153,146877
GA,"Gilmer County",31429,268089,32026,307463
GA,"Bleckley County",12577,107986,12607,121098
GA,"Lee County",33179,183108,33411,202947
GA,"Habersham County",46105,152345,46774,173470
GA,"Coffee County",43047,111228,43386,124155
GA,"Clayton County",297417,146517,297100,175462
GA,"Ben Hill County",17153,79584,17158,88808
GA,"Jones County",28356,156175,28400,174319
GA,"Chatham County",294904,197468,296329,227140
GA,"Haralson County",29985,145230,30572,164989
GA,"Coweta County",146653,246278,149956,288240
GA,"Cook County",17232,98986,17225,109777
GA,"Polk County",42925,114382,43496,133268
GA,"Pickens County",33333,226705,34024,257240
GA,"Dougherty County",85366,84570,84844,93215
GA,"Lumpkin County",33596,222450,34278,252766
GA,"Jefferson County",15658,74679,15524,82175
GA,"Wayne County",30155,125134,30380,140187
GA,"Columbia County",156773,219267,159639,248740
GA,"Jasper County",14638,162789,15278,186950
GA,"Treutlen County",6390,71736,6306,80396
GA,"Talbot County",5731,111363,5742,122244
GA,"Floyd County",98593,140965,98771,159829
GA,"Tift County",41348,140565,41212,156302
GA,"McIntosh County",10982,162105,11123,180037
GA,"Murray County",39938,142790,39951,160879
GA,"Clinch County",6723,76741,6725,86084
GA,"Muscogee County",206960,121153,205617,139078
GA,"Dade County",16224,157710,16326,177938
GA,"Long County",16287,169184,17152,184435
GA,"Warren County",5205,60041,5240,69593
GA,"Harris County",34927,249213,35626,278745
GA,"Telfair County",12461,63645,12414,71854
GA,"Screven County",14060,99959,14105,111255
